id|trad|simp|jyutping
10359|時不我與|时不我与|si4 bat1 ngo5 jyu5
10360|時不時|时不时|si4 bat1 si4
10361|時代雜誌|时代杂志|si4 doi6 zaap6 zi3
10362|時份|时份|si4 fan6
10363|時光機|时光机|si4 gwong1 gei1
10364|時刻|时刻|si4 hak1
10365|時務|时务|si4 mou6
10366|時哩沙啦|时哩沙啦|si4 li1 saa4 laa4
10367|時嘜|时唛|si4 mak1
10368|時尚|时尚|si4 soeng6
10369|時年|时年|si4 nin4
10370|時文|时文|si4 man4
10371|時時沙沙|时时沙沙|si4 si4 saa1 saa1
10372|時時都|时时都|si4 si4 dou1
10373|時款|时款|si4 fun2
10374|時裝店|时装店|si4 zong1 dim3
10375|時辰八字|时辰八字|si4 san4 baat3 zi6
10376|時辰鐘|时辰钟|si4 san4 zung1
10377|時運高，睇唔到|时运高，睇唔到|si4 wan6 gou1 tai2 m4 dou2
10378|時鐘酒店|时钟酒店|si4 zung1 zau2 dim3
10379|時間無多|时间无多|si4 gaan3 mou4 do1
10380|晏|晏|aan3
10381|晏晝|晏昼|aan3 zau3
10382|晏晝飯|晏昼饭|aan3 zau3 faan6
10383|晏覺|晏觉|aan3 gaau3
10384|晒冷|晒冷|saai3 laang5
10385|晒命|晒命|saai3 ming6
10386|晒士|晒士|saai3 si6
10387|晒料|晒料|saai3 liu2
10388|晒月光|晒月光|saai3 jyut6 gwong1
10389|晒相|晒相|saai3 soeng2
10390|晒馬|晒马|saai3 maa5
10391|勗勉|勖勉|juk1 min5
10392|晚上|晚上|maan5 soeng6
10393|晚晚|晚晚|maan5 maan5
10394|晚會|晚会|maan5 wui2
10395|晚節|晚节|maan5 zit3
10396|晚霞|晚霞|maan5 haa4
10397|晚頭|晚头|maan5 tau4
10398|晚頭夜|晚头夜|maan5 tau4 je6
10399|晚頭黑|晚头黑|maan5 tau4 hak1
10400|晚香玉|晚香玉|maan5 hoeng1 juk6
10401|晚黑|晚黑|maan5 hak1
10402|晦氣|晦气|fui3 hei3
10403|晦氣星|晦气星|fui3 hei3 sing1
10404|晨光|晨光|san4 gwong1
10405|晨早|晨早|san4 zou2
10406|晨早流流|晨早流流|san4 zou2 lau4 lau4
10407|晨褸|晨褛|san4 lau5
10408|晨運|晨运|san4 wan6
10409|普及|普及|pou2 kap6
10410|普通朋友|普通朋友|pou2 tung1 pang4 jau5
10411|普飛|普飞|pou3 fei1
10412|景象|景象|ging2 zoeng6
10413|景轟|景轰|ging2 gwang1
10414|晶石|晶石|zing1 sek6
10415|智囊|智囊|zi3 nong4
10416|智能電話|智能电话|zi3 nang4 din6 waa2
10417|晾肉|晾肉|long6 juk6
10418|晾衫|晾衫|long6 saam1
10419|暑期工|暑期工|syu2 kei4 gung1
10420|暈低|晕低|wan6 dai1
10421|暈得一陣陣|晕得一阵阵|wan4 dak1 jat1 zan6 zan6
10422|暈晒大浪|晕晒大浪|wan4 saai3 daai6 long6
10423|暈暈地|晕晕地|wan4 wan2 dei2
10424|暈機浪|晕机浪|wan4 gei1 long6
10425|暈浪|晕浪|wan4 long6
10426|暈船浪|晕船浪|wan4 syun4 long6
10427|暈車浪|晕车浪|wan4 ce1 long6
10428|暈酡酡|晕酡酡|wan4 to4 to4
10429|暈陀陀|晕陀陀|wan6 to4 to4
10430|暌違|暌违|kwai4 wai4
10431|暖水壺|暖水壶|nyun5 seoi2 wu2
10432|暖水袋|暖水袋|nyun5 seoi2 doi6
10433|暖笠笠|暖笠笠|nyun5 lap1 lap1
10434|暖粒粒|暖粒粒|nyun5 lap1 lap1
10435|暗中摸索|暗中摸索|am3 zung1 mo2 sok3
10436|暗事|暗事|am3 si6
10437|暗啞抵|暗哑抵|am3 aa2 dai2
10438|暗度陳倉|暗度陈仓|am3 dou6 can4 cong1
10439|暗格|暗格|am3 gaak3
10440|暗渠|暗渠|am3 keoi4
10441|暗病|暗病|am3 beng6
10442|暗示|暗示|am3 si6
10443|暗箭傷人|暗箭伤人|am3 zin3 soeng1 jan4
10444|暢遊|畅游|coeng3 jau4
10445|暢銷|畅销|coeng3 siu1
10446|暢錢|畅钱|coeng3 cin2
10447|暢錢機|畅钱机|coeng3 cin2 gei1
10448|暨今|暨今|kei3 gam1
10449|暫時|暂时|zaam6 si4
10450|暴冷暴熱|暴冷暴热|bou6 laang5 bou6 jit6
10451|暴動|暴动|bou6 dung6
10452|暴富難睇|暴富难睇|bou6 fu3 naan4 tai2
10453|暴瀉|暴泻|bou6 se3
10454|曉市|晓市|hiu2 si5
10455|曉港|晓港|hiu2 gong2
10456|曚曚光|曚曚光|mung1 mung1 gwong1
10457|曚曨|曚昽|mung4 lung4
10458|曙色|曙色|cyu5 sik1
10459|曬|晒|saai3
10460|曬命|晒命|saai3 meng6
10461|曬太陽|晒太阳|saai3 taai3 joeng4
10462|曬月光|晒月光|saai3 jyut6 gwong1
10463|曬棚|晒棚|saai3 paang4
10464|曬蓆|晒席|saai3 zik6
10465|曬衫|晒衫|saai3 saam1
10466|曱甴屎|曱甴屎|gaak6 gaat6 si2
10467|曲|曲|kuk1
10468|曲奇餅|曲奇饼|kuk1 kei4 beng2
10469|曲終人散|曲终人散|kuk1 zung1 jan4 saan3
10470|曲綫|曲线|kuk1 sin3
10471|曲蹄|曲蹄|kuk1 tai4
10472|曳|曳|jai6
10473|曳嘢|曳嘢|jai5 je5
10474|曳曳|曳曳|jai1 jai1
10475|曳猪|曳猪|jai6 zyu1
10476|更|更|gang3
10477|更多|更多|gang1 do1
10478|更改|更改|gang1 goi2
10479|更進一步|更进一步|gang3 zeon3 jat1 bou6
10480|書|书|syu1
10481|書到用時方恨少|书到用时方恨少|syu1 dou3 jung6 si4 fong1 han6 siu2
10482|書包|书包|syu1 baau1
10483|書友|书友|syu1 jau2
10484|書展|书展|syu1 zin2
10485|書攤|书摊|syu1 taan1
10486|書枱|书枱|syu1 toi4
10487|書檯|书台|syu1 toi2
10488|書生氣|书生气|syu1 sang1 hei3
10489|書簽|书签|syu1 cim1
10490|書院|书院|syu1 jyun2
10491|書面|书面|syu1 min6
10492|曹操都有知心友，關公亦有對頭人|曹操都有知心友，关公亦有对头人|cou4 cou1 dou1 jau5 zi1 sam1 jau5 gwaan1 gung1 jik6 jau5 deoi3 tau4 jan4
10493|曼克頓|曼克顿|maan6 hak1 deon6
10494|曼秀雷敦|曼秀雷敦|maan6 sau3 leoi4 deon1
10495|曾|曾|cang4
10496|曾俊華|曾俊华|zang1 zeon3 waa4
10497|曾偉雄|曾伟雄|zang1 wai5 hung4
10498|曾寶儀|曾宝仪|zang1 bou2 ji4
10499|曾志偉|曾志伟|zang1 zi3 wai5
10500|曾鈺成|曾钰成|zang1 juk6 sing4
10501|替槍|替枪|tai3 coeng1
10502|會|会|wui2
10503|會仔|会仔|wui2 zai2
10504|會展中心站|会展中心站|wui6 zin2 zung1 sam1 zaam6
10505|會彈唔會唱|会弹唔会唱|wui3 taan4 m4 wui3 coeng3
10506|會江站|会江站|wui6 gong1 zaam6
10507|會稽|会稽|kui2 kai1
10508|會錯意|会错意|wui6 co3 ji3
10509|月光|月光|jyut6 gwong1
10510|月入|月入|jyut6 jap6
10511|月出|月出|jyut6 ceot1
10512|月台幕門|月台幕门|jyut6 toi4 mok6 mun4
10513|月圓|月圆|jyut6 jyun4
10514|月大|月大|jyut6 daai6
10515|月字邊|月字边|jyut6 zi6 bin1
10516|月小|月小|jyut6 siu2
10517|月白|月白|jyut6 baak6
10518|月白風清|月白风清|jyut6 baak6 fung1 cing1
10519|月結單|月结单|jyut6 git3 daan1
10520|月經週期|月经周期|jyut6 ging1 zau1 kei4
10521|月薪|月薪|jyut6 san1
10522|月長石|月长石|jyut6 coeng4 sek6
10523|月頭|月头|jyut6 tau4
10524|有|有|jau5
10525|有一日|有一日|jau5 jat1 jat6
10526|有之|有之|jau5 zi1
10527|有乜冬瓜豆腐|有乜冬瓜豆腐|jau5 me1 dung1 gwaa1 dau6 fu6
10528|有事慢慢講|有事慢慢讲|jau5 si6 maan4 maan5 gong2
10529|有交易|有交易|jau5 gaau1 jik6
10530|有仇不報非君子|有仇不报非君子|jau5 sau4 bat1 bou3 fei1 gwan1 zi2
10531|有便宜唔使頸|有便宜唔使颈|jau5 pin4 ji4 m4 sai2 geng2
10532|有信心|有信心|jau5 seon3 sam1
10533|有傷風化|有伤风化|jau5 soeng1 fung1 faa3
10534|有傾有講|有倾有讲|jau5 king1 jau5 gong2
10535|有兩度|有两度|jau5 loeng5 dou6
10536|有兩手|有两手|jau5 loeng5 sau2
10537|有冇|有冇|jau5 mou5
10538|有冇搞錯|有冇搞错|jau5 mou5 gaau2 co3
10539|有冇攪錯|有冇搅错|jau5 mou5 gaau2 cok3
10540|有凸|有凸|jau5 dat6
10541|有分數|有分数|jau5 fan1 sou3
10542|有利|有利|jau5 lei6
10543|有前冇後|有前冇后|jau5 cin4 mou5 hau6
10544|有前有後|有前有后|jau5 cin4 jau5 hau6
10545|有力|有力|jau5 lik6
10546|有功|有功|jau5 gung1
10547|有口無心|有口无心|jau5 hau2 mou4 sam1
10548|有口難言|有口难言|jau5 hau2 naan4 jin4
10549|有口齒|有口齿|jau5 hau2 ci2
10550|有咁啱得咁蹺|有咁啱得咁跷|jau5 gam3 ngaam1 dak1 gam3 hiu1
10551|有咗|有咗|jau5 zo2
10552|有咗肚|有咗肚|jau5 zo2 tou5
10553|有啲|有啲|jau5 di1
10554|有嘢到|有嘢到|jau5 je5 dou3
10555|有型有款|有型有款|jau5 jing4 jau5 fun2
10556|有多|有多|jau5 do1
10557|有奶便是娘|有奶便是娘|jau5 naai5 bin6 si6 noeng4
10558|有姿勢冇實際|有姿势冇实际|jau5 zi1 sai3 mou5 sat6 zai3
10559|有婦之夫|有妇之夫|jau5 fu5 zi1 fu1
10560|有寶|有宝|jau5 bou2
10561|有少少|有少少|jau5 siu2 siu2
10562|有少許|有少许|jau5 siu2 heoi2
10563|有屁就放|有屁就放|jau5 pei3 zau6 fong3
10564|有幾何|有几何|jau5 gei2 ho4
10565|有得|有得|jau5 dak1
10566|有心唔怕遲|有心唔怕迟|jau5 sam1 m4 paa3 ci4
10567|有心無力|有心无力|jau5 sam1 mou4 lik6
10568|有怪莫怪|有怪莫怪|jau5 gwaai3 mok6 gwaai3
10569|有意栽花花不發，無心插柳柳成蔭|有意栽花花不发，无心插柳柳成荫|jau5 ji3 zoi1 faa1 faa1 bat1 faat3 mou4 sam1 caap3 lau5 lau5 sing4 jam3
10570|有慢|有慢|jau5 maan6
10571|有我喺度|有我喺度|jau5 ngo5 hai2 dou6
10572|有所不知|有所不知|jau5 so2 bat1 zi1
10573|有所改善|有所改善|jau5 so2 goi2 sin6
10574|有找|有找|jau5 zaau2
10575|有把炮|有把炮|jau5 baa2 paau3
10576|有排|有排|jau5 paai4
10577|有揸手|有揸手|jau5 zaa1 sau2
10578|有揸拿|有揸拿|jau5 zaa1 naa4
10579|有效數字|有效数字|jau5 haau6 sou3 zi6
10580|有效率|有效率|jau5 haau6 leot2
10581|有數|有数|jau5 sou3
10582|有數為|有数为|jau5 sou3 wai4
10583|有料|有料|jau5 liu2
10584|有料到|有料到|jau5 liu2 dou3
10585|有日|有日|jau5 jat6
10586|有早知，冇乞兒|有早知，冇乞儿|jau5 zou2 zi1 mou5 hat1 ji1
10587|有景轟|有景轰|jau5 ging2 gwang1
10588|有根蔃|有根蔃|jau5 gan1 koeng2
10589|有案可查|有案可查|jau5 on3 ho2 caa4
10590|有樣學樣|有样学样|jau5 joeng2 hok6 joeng2
10591|有機|有机|jau5 gei1
10592|有機可乘|有机可乘|jau5 gei1 ho2 sing4
10593|有機肥料|有机肥料|jau5 gei1 fei4 liu2
10594|有權有勢|有权有势|jau5 kyun4 jau5 sai3
10595|有殺冇賠|有杀冇赔|jau5 saat3 mou5 pui4
10596|有毛有翼|有毛有翼|jau5 mou4 jau5 jik6
10597|有氣冇力|有气冇力|jau5 hei3 mou5 lik6
10598|有氣冇埞唞|有气冇埞唞|jau5 hei3 mou5 deng6 tau2
10599|有沒有|有没有|jau5 mut6 jau5
10600|有波有籮|有波有箩|jau5 bo1 jau5 lo1
10601|有爺生冇乸教|有爷生冇乸教|jau5 je4 saang1 mou5 naa2 gaau3
10602|有理冇理|有理冇理|jau5 lei5 mou5 lei5
10603|有理走遍天下|有理走遍天下|jau5 lei5 zau2 pin3 tin1 haa6
10604|有瓦遮頭|有瓦遮头|jau5 ngaa5 ze1 tau4
10605|有生之年|有生之年|jau5 sang1 zi1 nin4
10606|有病|有病|jau5 beng6
10607|有癮|有瘾|jau5 jan5
10608|有的放矢|有的放矢|jau5 dik1 fong3 ci2
10609|有益|有益|jau5 jik1
10610|有眼無珠|有眼无珠|jau5 ngaan5 mou4 zyu1
10611|有着數|有着数|jau5 zoek6 sou3
10612|有睇頭|有睇头|jau5 tai2 tau4
10613|有碗話碗，有碟話碟|有碗话碗，有碟话碟|jau5 wun2 waa6 wun2 jau5 dip6 waa6 dip6
10614|有礙|有碍|jau5 ngoi6
10615|有神冇氣|有神冇气|jau5 san4 mou5 hei3
10616|有突|有突|jau5 dat6
10617|有米|有米|jau5 mai5
10618|有約|有约|jau5 joek3
10619|有紋有路|有纹有路|jau5 man4 jau5 lou6
10620|有聲氣|有声气|jau5 seng1 hei3
10621|有著數|有着数|jau5 zoek6 sou3
10622|有落|有落|jau5 lok6
10623|有蓋|有盖|jau5 goi3
10624|有血性|有血性|jau5 hyut3 sing3
10625|有行|有行|jau5 hong4
10626|有術|有术|jau5 seot6
10627|有言在先|有言在先|jau5 jin4 zoi6 sin1
10628|有計劃|有计划|jau5 gai3 waak6
10629|有諗頭|有谂头|jau5 nam2 tau4
10630|有講有笑|有讲有笑|jau5 gong2 jau5 siu3
10631|有賭未為輸|有赌未为输|jau5 dou2 mei6 wai4 syu1
10632|有賴|有赖|jau5 laai6
10633|有路|有路|jau5 lou6
10634|有路數|有路数|jau5 lou6 sou3
10635|有蹺蹊|有跷蹊|jau5 kiu2 kai1
10636|有身己|有身己|jau5 san1 gei2
10637|有身紀|有身纪|jau5 san1 gei2
10638|有辣有唔辣|有辣有唔辣|jau5 laat6 jau5 m4 laat6
10639|有運|有运|jau5 wan6
10640|有道德|有道德|jau5 dou6 dak1
10641|有錢|有钱|jau5 cin2
10642|有錢出錢，有力出力|有钱出钱，有力出力|jau5 cin2 ceot1 cin2 jau5 lik6 ceot1 lik6
10643|有錢駛得鬼推磨|有钱驶得鬼推磨|jau5 cin2 sai2 dak1 gwai2 teoi1 mo4
10644|有關|有关|jau5 gwaan1
10645|有關方面|有关方面|jau5 gwaan1 fong1 min6
10646|有限小數|有限小数|jau5 haan6 siu2 sou3
10647|有陣時|有阵时|jau5 zan6 si4
10648|有隙可乘|有隙可乘|jau5 kwik1 ho2 sing4
10649|有面|有面|jau5 min6
10650|有頭冇尾|有头冇尾|jau5 tau4 mou5 mei5
10651|有頭威，冇尾陣|有头威，冇尾阵|jau5 tau4 wai1 mou5 mei5 zan6
10652|有頭威冇尾陣|有头威冇尾阵|jau5 tau4 wai1 mou5 mei5 zan6
10653|有頭有路|有头有路|jau5 tau4 jau5 lou6
10654|有頭有面|有头有面|jau5 tau4 jau5 min2
10655|有頭毛冇人想生鬎鬁|有头毛冇人想生瘌痢|jau5 tau4 mou4 mou5 jan4 soeng2 saang1 laat6 lei1
10656|有頭髮邊個想做癩痢|有头发边个想做癞痢|jau5 tau4 faat3 bin1 go3 soeng2 zou6 laat3 lei1
10657|有風駛盡𢃇|有风驶尽𢃇|jau5 fung1 sai2 zeon6 lei5
10658|有驚無險|有惊无险|jau5 ging1 mou4 him2
10659|有骨|有骨|jau5 gwat1
10660|有鬼|有鬼|jau5 gwai2
10661|有麝自然香|有麝自然香|jau5 se6 zi6 jin4 hoeng1
10662|朊毒體|朊毒体|jyun2 duk6 tai2
10663|服務中心|服务中心|fuk6 mou6 zung1 sam1
10664|服務行業|服务行业|fuk6 mou6 hong4 jip6
10665|服裝|服装|fuk6 zong1
10666|朗尼|朗尼|long5 nei4
10667|朗屏|朗屏|long5 ping4
10668|朗拿度|朗拿度|long5 naa4 dou6
10669|朗拿甸奴|朗拿甸奴|long5 naa4 din6 nou4
10670|朗讀|朗读|long5 duk6
10671|朗豪坊|朗豪坊|long3 hou4 fong1
10672|朗豪酒店|朗豪酒店|long5 hou4 zau2 dim3
10673|朘朘|朘朘|zeoi1 zeoi1
10674|望住|望住|mong6 zyu6
10675|望到頸都長|望到颈都长|mong6 dou3 geng2 dou1 zoeng2
10676|望天打卦|望天打卦|mong6 tin1 daa2 gwaa3
10677|望山跑死馬|望山跑死马|mong6 saan1 paau2 sei2 maa5
10678|望洋興歎|望洋兴叹|mong6 joeng4 hing1 taan3
10679|望穿秋水|望穿秋水|mong6 cyun1 cau1 seoi2
10680|望角|望角|mong6 gok3
10681|朝|朝|ziu1
10682|朝三暮四|朝三暮四|ziu1 saam1 mou6 sei3
10683|朝九晚五|朝九晚五|ziu1 gau2 maan5 ng5
10684|朝政|朝政|ciu4 zing3
10685|朝早|朝早|ziu1 zou2
10686|朝暉|朝晖|ziu1 fai1
10687|朝朝|朝朝|ciu4 ciu4
10688|朝朝早|朝朝早|ziu1 ziu1 zou2
10689|朝行晚拆|朝行晚拆|ziu1 hang4 maan5 caak3
10690|朝頭早|朝头早|ziu1 tau4 zou2
10691|朝鮮薊|朝鲜蓟|ziu1 sin1 gai3
10692|期刊|期刊|kei4 hon2
10693|期待|期待|kei4 doi6
10694|期末考試|期末考试|kei4 mut6 haau2 si5
10695|期貨市場|期货市场|kei4 fo3 si5 coeng4
10696|期間|期间|kei4 gaan1
10697|木|木|muk6
10698|木俑|木俑|muk6 jung2
10699|木偶戲|木偶戏|muk6 ngau5 hei3
10700|木口木面|木口木面|muk6 hau2 muk6 min6
10701|木吉他|木吉他|muk6 gat1 taa1
10702|木嘴|木嘴|muk6 zeoi2
10703|木屋|木屋|muk6 uk1
10704|木方|木方|muk6 fong1
10705|木木獨獨|木木独独|muk6 muk6 duk6 duk6
10706|木材|木材|muk6 coi4
10707|木枱|木枱|muk6 toi2
10708|木槿|木槿|muk6 gan2
10709|木樨|木樨|muk6 sai1
10710|木獨|木独|muk6 duk6
10711|木糠|木糠|muk6 hong1
10712|木結他|木结他|muk6 git3 taa1
10713|木頭公仔|木头公仔|muk6 tau4 gung1 zai2
10714|木頭車|木头车|muk6 tau4 ce1
10715|木顏色筆|木颜色笔|muk6 ngaan4 sik1 bat1
10716|木魚書|木鱼书|muk6 jyu4 syu1
10717|未做|未做|mei6 zou6
10718|未嘗不可|未尝不可|mei6 soeng4 bat1 ho2
10719|未夠|未够|mei6 gau3
10720|未夠班|未够班|mei6 gau3 baan1
10721|未學行先學走|未学行先学走|mei6 hok6 haang4 sin1 hok6 zau2
10722|未完|未完|mei6 jyun4
10723|未完待續|未完待续|mei6 jyun4 doi6 zuk6
10724|未得|未得|mei6 dak1
10725|未得住|未得住|mei6 dak1 zyu6
10726|未得自|未得自|mei6 dak1 zi6
10727|未有耐|未有耐|mei6 jau5 noi6
10728|未知數|未知数|mei6 zi1 sou3
10729|未知死|未知死|mei6 zi1 sei2
10730|未算|未算|mei6 syun3
10731|未見|未见|mei6 gin3
10732|未見官先打三十大板|未见官先打三十大板|mei6 gin3 gun1 sin1 daa2 saam1 sap6 daai6 baan2
10733|未遂|未遂|mei6 seoi6
10734|未醒|未醒|mei6 seng2
10735|本|本|bun2
10736|本來|本来|bun2 loi4
10737|本土主義|本土主义|bun2 tou2 zyu2 ji6
10738|本地人|本地人|bun2 dei6 jan4
10739|本地狀元|本地状元|bun2 dei6 zong6 jyun4
10740|本地生產總值|本地生产总值|bun2 dei6 sang1 caan2 zung2 zik6
10741|本地菜|本地菜|bun2 dei6 coi3
10742|本地薑唔辣|本地姜唔辣|bun2 dei6 goeng1 m4 laat6
10743|本地雞|本地鸡|bun2 dei6 gai1
10744|本心|本心|bun2 sam1
10745|本港台|本港台|bun2 gong2 toi4
10746|本銀|本银|bun2 ngan4
10747|本錢|本钱|bun2 cin4
10748|札幌市|札幌市|zaat3 fong2 si5
10749|札碼字|札码字|zaat3 maa5 zi6
10750|札馬|札马|zaat3 maa5
10751|朱兆基|朱兆基|zyu1 siu6 gei1
10752|朱古力奶|朱古力奶|zyu1 gu1 lik1 naai5
10753|朱古力碎|朱古力碎|zyu1 gu1 lik1 seoi3
10754|朱槿|朱槿|zyu1 gan2
10755|朱油|朱油|zyu1 jau4
10756|朱纓花|朱缨花|zyu1 jing1 faa1
10757|朱義盛|朱义盛|zyu1 ji6 sing6
10758|朱門|朱门|zyu1 mun4
10759|朱雀橋|朱雀桥|zyu1 zoek3 kiu4
10760|朽敗|朽败|nau2 baai6
10761|朽木糞土|朽木粪土|nau2 muk6 fan3 tou2
10762|朽邁|朽迈|nau2 maai6
10763|杉木|杉木|caam3 muk6
10764|杉樹|杉树|caam3 syu6
10765|李|李|lei5
10766|李兆基|李兆基|lei5 siu6 gei1
10767|李克勤|李克勤|lei5 hak1 kan4
10768|李司棋|李司棋|lei5 si1 kei4
10769|李心潔|李心洁|lei5 sam1 git3
10770|李慧琼|李慧琼|lei5 wai6 king4
10771|李若彤|李若彤|lei5 joek6 tung4
10772|李鄭屋古墓|李郑屋古墓|lei5 zeng6 uk1 gu2 mou6
10773|李鄭屋漢墓博物館|李郑屋汉墓博物馆|lei5 zeng6 uk1 hon3 mou6 bok3 mat6 gun2
10774|李香蘭|李香兰|lei5 hoeng1 laan4
10775|杏仁糊|杏仁糊|hang6 jan4 wu2
10776|杏仁茶|杏仁茶|hang6 jan4 caa4
10777|杏仁餅|杏仁饼|hang6 jan4 beng2
10778|杏加橙|杏加橙|hang6 gaa1 caang2
10779|杏壇|杏坛|hang6 taan4
10780|杏桃|杏桃|hang6 tou2
10781|杏紅|杏红|hang6 hung4
10782|杏花|杏花|hang6 faa1
10783|杏花邨|杏花村|hang6 faa1 cyun1
10784|杏黃|杏黄|hang6 wong4
10785|村夫|村夫|cyun1 fu1
10786|村屋|村屋|cyun1 uk1
10787|杜奧巴|杜奥巴|dou6 ou3 baa1
10788|杜拜塔|杜拜塔|dou6 baai3 taap3
10789|杜比系統|杜比系统|dou6 bei2 hai6 tung2
10790|杜牙根|杜牙根|dou6 ngaa4 gan1
10791|杜絕|杜绝|dou6 zyut6
10792|杞子|杞子|gei2 zi2
10793|束手無策|束手无策|cuk1 sau2 mou4 caak3
10794|束縛|束缚|cuk1 bok3
10795|杧果|杧果|mong1 gwo2
10796|杭州西湖|杭州西湖|hong4 zau1 sai1 wu4
10797|杯仔麵|杯仔面|bui1 zi2 min6
10798|杯碟|杯碟|bui1 dip2
10799|杯耳|杯耳|bui1 ji5
10800|杯麵|杯面|bui1 min6
10801|杰撻撻|杰挞挞|git6 taat3 taat3
10802|東|东|dung1
10803|東京都|东京都|dung1 ging1 dou1
10804|東便|东便|dung1 bin6
10805|東北三省|东北三省|dung1 bak1 saam1 saang2
10806|東北部|东北部|dung1 bak1 bou6
10807|東北風|东北风|dung1 bak1 fung1
10808|東區海底隧道|东区海底隧道|dung1 keoi1 hoi2 dai2 seoi6 dou6
10809|東區走廊|东区走廊|dung1 keoi1 zau2 long2
10810|東南方|东南方|dung1 naam4 fong1
10811|東家唔打打西家|东家唔打打西家|dung1 gaa1 m4 daa2 daa2 sai1 gaa1
10812|東山口|东山口|dung1 saan1 hau2
10813|東方|东方|dung1 fong1
10814|東方之珠|东方之珠|dung1 fong1 zi1 zyu1
10815|東方人|东方人|dung1 fong1 jan4
10816|東方報業集團|东方报业集团|dung1 fong1 bou3 jip6 zaap6 tyun4
10817|東施效顰|东施效颦|dung1 si1 haau6 pan4
10818|東沙|东沙|dung1 saa1
10819|東沙群島|东沙群岛|dung1 saa1 kwan4 dou2
10820|東涌|东涌|dung1 jung2
10821|東涌站|东涌站|dung1 cung1 zaam6
10822|東涌線|东涌线|dung1 jung2 sin3
10823|東瀛|东瀛|dung1 jing4
10824|東華東院|东华东院|dung1 waa4 dung1 jyun2
10825|東華醫院|东华医院|dung1 waa4 ji1 jyun2
10826|東西|东西|dung1 sai1
10827|東鄉族|东乡族|dung1 hoeng1 zuk6
10828|東隧|东隧|dung1 seoi6
10829|東風|东风|dung1 fung1
10830|東風射馬耳|东风射马耳|dung1 fung1 se6 maa5 ji5
10831|東風螺|东风螺|dung1 fung1 lo4
10832|東龍洲|东龙洲|dung1 lung4 zau1
10833|杳無人跡|杳无人迹|miu5 mou4 jan4 zik1
10834|杳無音訊|杳无音讯|miu5 mou4 jam1 seon3
10835|杵臼|杵臼|cyu2 kau5
10836|松子|松子|cung4 zi2
10837|松林|松林|cung4 lam4
10838|松毛|松毛|cung4 mou4
10839|松濤|松涛|cung4 tou4
10840|松節水|松节水|cung4 zit3 seoi2
10841|松脂|松脂|cung4 zi1
10842|松針|松针|cung4 zam1
10843|板|板|baan2
10844|板仔|板仔|baan2 zai2
10845|板斧|板斧|baan2 fu2
10846|板間房|板间房|baan2 gaan3 fong2
10847|板障|板障|baan2 zoeng3
10848|板頸|板颈|baan2 geng2
10849|枇杷果|枇杷果|pei4 paa4 gwo2
10850|枑|枑|wu6
10851|枕住|枕住|zam2 zyu6
10852|枕長|枕长|zam2 coeng4
10853|枕頭包|枕头包|zam2 tau4 baau1
10854|枕頭狀|枕头状|zam2 tau4 zong6
10855|枕頭肉|枕头肉|zam2 tau4 juk2
10856|枕頭袋|枕头袋|zam2 tau4 doi2
10857|林|林|lam4
10858|林依晨|林依晨|lam4 ji1 san4
10859|林和西站|林和西站|lam4 wo2 sai1 zaam6
10860|林嘉欣|林嘉欣|lam4 gaa1 jan1
10861|林夕|林夕|lam4 zik6
10862|林子祥|林子祥|lam4 zi2 coeng4
10863|林寶堅尼|林宝坚尼|lam4 bou2 gin1 nei4
10864|林峰|林峰|lam4 fung1
10865|林曉培|林晓培|lam4 hiu2 pui4
10866|林林總總|林林总总|lam4 lam4 zung2 zung2
10867|林檎|林檎|lam4 kam4
10868|林沈|林沉|lam4 sam2
10869|林海|林海|lam4 hoi2
10870|林海峰|林海峰|lam4 hoi2 fung1
10871|林瑞麟|林瑞麟|lam4 seoi6 leon4
10872|林產品|林产品|lam4 caan2 ban2
10873|林過雲|林过云|lam4 gwo3 wan4
10874|林鄭月娥|林郑月娥|lam4 zeng6 jyut6 ngo4
10875|果占|果占|gwo2 zim1
10876|果核|果核|gwo2 wat6
10877|果欄|果栏|gwo2 laan4
10878|果洲群島|果洲群岛|gwo2 zau1 kwan4 dou2
10879|果蔗|果蔗|gwo2 ze3
10880|枝竹|枝竹|zi1 zuk1
10881|枝頭|枝头|zi1 tau4
10882|枯涸|枯涸|fu1 kok3
10883|枱布|枱布|toi2 bou3
10884|枱枱凳凳|枱枱凳凳|toi2 toi2 dang3 dang3
10885|枱枱櫈櫈|枱枱凳凳|toi2 toi2 dang3 dang3
10886|枱波|枱波|toi2 bo1
10887|枱腳|枱脚|toi2 goek3
10888|枳入|枳入|zat1 jap6
10889|枴杖|拐杖|gwaai2 zoeng2
10890|架|架|gaa2
10891|架佬|架佬|gaa4 lou2
10892|架勢|架势|gaa3 sai3
10893|架勢堂|架势堂|gaa3 sai3 tong4
10894|架妹|架妹|gaa4 mui1
10895|架子|架子|gaa2 zi2
10896|架撐|架撑|gaa2 caang1
10897|架樑|架梁|gaa3 loeng2
10898|架步|架步|gaa3 bou6
10899|架生|架生|gaa2 caang1
10900|架罉|架罉|gaa2 caang1
10901|柄埋|柄埋|beng3 maai4
10902|柏寧酒店|柏宁酒店|paak3 ning4 zau2 dim3
10903|柏文|柏文|paak3 man4
10904|柏斯|柏斯|paak3 si1
10905|柏立基|柏立基|paak3 laap6 gei1
10906|某啲|某啲|mau5 di1
